,Florida,California,Texas,New York,Massachusetts,New Jersey,Arizona,Colorado,Missouri
2000-01-01,109594.32938565168,191660.8734933173,116021.70831362456,154414.01993021058,202603.0733869998,173379.73432349743,137473.3277184476,182159.69778473728,100886.20532025224
2000-02-01,109831.7209048997,192305.10289629345,116084.75750687101,154963.88552364497,203279.4976529674,173847.1052476156,137722.33233005056,182806.49609969405,101004.45172601248
2000-03-01,110119.48674594575,193174.97034375454,116115.3373533459,155493.21983162526,204084.3357896407,174293.05944715833,138042.8058388606,183521.27515155298,101181.48578978446
2000-04-01,110704.44068593926,195063.19320329325,116267.10784310725,156631.67402990817,205669.52754295873,175281.08521614943,138697.19427391276,185119.49541503773,101586.14592436254
2000-05-01,111335.25047475303,197257.9678335534,116365.39679236175,157809.56716378007,207385.41954886125,176288.29980323347,139438.9528203253,186903.386315298,102108.8495368015
2000-06-01,111978.8796984441,199626.12328392963,116475.60263195024,159083.19538514825,209244.55677376004,177490.40021866644,140104.60726866394,188829.7043178679,102686.47009221104
2000-07-01,112625.5696409733,202127.06458840938,116548.02491994778,160228.18263468266,211444.6073155333,178850.6876702817,140781.51247206356,190781.56039837413,103314.45127616532
2000-08-01,113284.19018866013,204738.17937394205,116762.27850572362,161230.4244442606,214151.99927971815,180503.63034022288,141431.73542643033,192900.38875351907,103991.61408670247
2000-09-01,113966.85507018636,207355.353583751,117043.24044637517,162121.01253929603,217194.25701496145,182331.448818305,142150.87776689397,195124.65757432897,104673.42674108512
2000-10-01,114663.74938066008,209837.28389135693,117344.29656654736,163075.6058101691,220407.9540426087,184179.70895925444,142843.7849681741,197333.91151414035,105398.23231240374
2000-11-01,115387.93763685036,212281.51464280768,117691.69695463568,164245.0481994538,223512.92236962542,185828.56396520673,143511.0650231066,199459.9408455789,106185.05071421493
2000-12-01,116134.87602828338,214673.67153856345,118077.57541429756,165528.72645772784,226582.09870176518,187294.18654661707,144159.25209071438,201491.2302202743,106927.92548154136
2001-01-01,116817.85551334555,216697.31854602825,118307.96236996904,166759.96451350613,229355.43417938644,188665.95085547224,144790.4981224208,203528.4868241916,107482.1434047079
